feature,importance
NoOfExternalRef,0.19430919814348607
LineOfCode,0.1589892268408049
URLSimilarityIndex,0.13390264370029828
NoOfSelfRef,0.12580317055633078
NoOfImage,0.09350434624029969
NoOfJS,0.06361813296086424
HasDescription,0.03287262455725669
NoOfCSS,0.03284742771199432
HasSocialNet,0.02395330271816797
IsHTTPS,0.02316518474485366
LargestLineLength,0.018255672276841692
NoOfOtherSpecialCharsInURL,0.01782424338372281
NoOfiFrame,0.012493918668217047
NoOfLettersInURL,0.009975685041595258
HasSubmitButton,0.008261644497096102
